,aa_filename,agents_num,complete_time_avg,complete_time_avg_std,dist_travelled_avg,totaldist,dist_travelled_avg_std,max_dist_travelled_avg,max_dist_travelled_std,min_dist_travelled_avg,min_dist_travelled_std,cell_discovered_avg,max_cell_discovered_avg,max_cell_discovered_std,min_cell_discovered_avg,min_cell_discovered_std,obj_collected_avg,max_obj_collected_avg,max_obj_collected_std,min_obj_collected_avg,min_obj_collected_std
0,AuctionFrontierC_7agent_50obj_medium_7cap.csv,7.0,945.0450484848488,145.5039569061657,517.7557909090908,3624.2905363636355,58.050222574980864,623.6773704545456,80.04586545694247,434.73818809090903,52.13547259610683,51.0,96.66666666666667,19.388570516329118,13.93939393939394,7.664607760427935,7.1428569999999985,10.636363636363637,1.597227711892191,3.6363636363636362,1.4101901870444153
1,AuctionFrontierC_7agent_35obj_medium_30capv2.csv,7.0,785.8480920000002,113.61759726112165,412.22626977999977,2885.5838884599984,56.01128936920469,528.1832509000001,82.87734911517788,341.13848396000003,54.77097754070079,51.0,108.67,18.297239953036353,11.45,5.582032865282228,5.0,8.85,1.5333003949031316,2.08,0.7872724939930139
2,AuctionFrontierC_7agent_10obj_medium_7cap.csv,7.0,627.8833442857143,511.85816320037696,324.89304802857146,2274.2513362,87.26678671194017,383.2411724285714,123.31366101827004,292.25192177142867,70.35124240818492,51.0,125.14285714285714,20.415021656704102,6.6571428571428575,4.050728744478521,1.4244898260000003,3.0,0.9701425001453319,0.3142857142857143,0.47100821595360554
3,AuctionFrontierC_7agent_50obj_medium_15cap.csv,7.0,803.1279222222222,152.94104692857795,430.66582748148153,3014.6607923703705,52.36923796091612,539.0170178148148,98.67888270502878,356.77271322222225,35.72157623219739,51.0,111.44444444444444,18.27426381413812,11.185185185185185,5.299035014016428,7.142856999999999,12.0,1.8397324220155997,3.4444444444444446,1.0127393670836669
4,AuctionFrontierC_7agent_35obj_medium_15capv2.csv,7.0,781.1933,136.4660398618587,420.52880309900985,2943.701621693069,58.202056419994484,534.4636358019803,99.98985676024364,348.61218340594064,48.66229913982456,51.0,107.45544554455445,18.67968134229021,12.633663366336634,7.45885081266173,5.0,8.782178217821782,1.375528701234835,1.9702970297029703,0.9322601090313197
5,AuctionFrontierC_7agent_35obj_medium_30cap.csv,7.0,844.0037639999998,127.0573340661171,427.65061772000007,2993.5543240400007,48.51056231375966,566.14912952,88.56008125336756,348.4715984800001,39.97448716416157,51.0,111.3,17.811083456026783,10.46,5.599599111015149,5.0,8.84,1.5301060387423868,2.12,0.8953394066281369
6,AuctionFrontierC_7agent_35obj_medium_7cap.csv,7.0,835.5141689655171,136.53752611760058,447.081333689655,3129.5693358275853,62.83185620998078,558.8205508448277,84.76218587069391,363.85457075862064,60.2491348738695,51.0,104.48275862068965,16.841095704769483,13.39655172413793,6.991071135390104,5.0,7.775862068965517,1.0267151409428312,2.1724137931034484,0.7754552943210994
7,AuctionFrontierC_7agent_50obj_medium_30cap.csv,7.0,798.9586518518519,149.68281900172568,428.01739429629623,2996.121760074074,78.57737398733235,535.6729167037037,116.94937416434118,360.10715596296296,61.49332423532334,51.0,107.66666666666667,21.96500713547661,12.74074074074074,7.537560269398502,7.142856999999999,12.333333333333334,2.0191391920625676,2.925925925925926,1.4656562175858798
8,AuctionFrontierC_7agent_10obj_medium_30cap.csv,7.0,483.24488285714284,98.54918352599373,295.5417828857143,2068.7924802,27.985997176932504,334.3045885999999,62.525414677862436,271.3456975428571,26.489097875900153,51.0,126.82857142857142,20.09899867901781,7.6571428571428575,4.256088076424842,1.4285714600000003,3.342857142857143,0.8725505932695974,0.14285714285714285,0.3550358012483631
9,AuctionFrontierC_7agent_35obj_medium_15cap.csv,7.0,830.1731949152543,156.57544085328806,453.5748166271186,3175.02371638983,71.7201720917952,568.4383752711865,99.62441093208065,373.5456952881357,62.061388663499756,51.0,112.67796610169492,23.230064258350794,12.11864406779661,6.225876882603358,5.0,8.932203389830509,1.6698586227547259,1.9152542372881356,1.0049555761878464
